Division,Group,Class,Description,,,,,
Division 01,11,110,Growing of non-perennial crops,,,,,
Division 01,11,111,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,
Division 01,11,112,Growing of rice,,,,,
Division 01,11,113,"Growing of vegetables and melons, roots and tubers",,,,,
Division 01,11,114,Growing of sugar cane,,,,,
Division 01,11,115,Growing of tobacco,,,,,
Division 01,11,116,Growing of fibre crops,,,,,
Division 01,11,119,Growing of other non-perennial crops,,,,,
Division 01,12,120,Growing of perennial crops,,,,,
Division 01,12,121,Growing of grapes,,,,,
Division 01,12,122,Growing of tropical and subtropical fruits,,,,,
Division 01,12,123,Growing of citrus fruits,,,,,
Division 01,12,124,Growing of pome fruits and stone fruits,,,,,
Division 01,12,125,Growing of other tree and bush fruits and nuts,,,,,
Division 01,12,126,Growing of oleaginous fruits,,,,,
Division 01,12,127,Growing of beverage crops,,,,,
Division 01,12,128,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,
Division 01,12,129,Growing of other perennial crops,,,,,
Division 01,13,130,Plant propagation,,,,,
Division 01,14,140,Animal production,,,,,
Division 01,14,141,Raising of cattle and buffaloes,,,,,
Division 01,14,142,Raising of horses and other equines,,,,,
Division 01,14,143,Raising of camels and camelids,,,,,
Division 01,14,144,Raising of sheep and goats,,,,,
Division 01,14,145,Raising of swine/pigs,,,,,
Division 01,14,146,Raising of poultry,,,,,
Division 01,14,149,Raising of other animals,,,,,
Division 01,15,150,Mixed farming,,,,,
Division 01,16,160,Support activities to agriculture and post-harvest crop activities,,,,,
Division 01,16,161,Support activities for crop production,,,,,
Division 01,16,162,Support activities for animal production,,,,,
Division 01,16,163,Post-harvest crop activities,,,,,
Division 01,16,164,Seed processing for propagation,,,,,
Division 01,17,170,"Hunting, trapping and related service activities",,,,,
Division 02,20,200,Forestry and logging,,,,,
Division 02,21,210,Silviculture and other forestry activities,,,,,
Division 02,22,220,Logging,,,,,
Division 02,23,230,Gathering of non-wood forest products,,,,,
Division 02,24,240,Support services to forestry,,,,,
Division 27,270,270,Manufacture of electrical equipment,,,,,
Division 03,30,300,Fishing and aquaculture,,,,,
Division 03,31,310,Fishing,,,,,
Division 03,31,311,Marine fishing,,,,,
Division 03,31,312,Freshwater fishing,,,,,
Division 03,32,320,Aquaculture,,,,,
Division 03,32,321,Marine aquaculture,,,,,
Division 03,32,322,Freshwater aquaculture,,,,,
Division 05,50,500,Mining of coal and lignite,,,,,
Division 05,51,510,Mining of hard coal,,,,,
Division 05,52,520,Mining of lignite,,,,,
Division 06,52,520,Extraction of crude petroleum and natural gas,,,,,
Division 06,61,610,Extraction of crude petroleum,,,,,
Division 06,62,620,Extraction of natural gas,,,,,
Division 07,70,700,Mining of metal ores,,,,,
Division 07,71,710,Mining of iron ores,,,,,
Division 07,72,720,Mining of non-ferrous metal ores,,,,,
Division 07,72,721,Mining of uranium and thorium ores,,,,,
Division 07,72,729,Mining of other non-ferrous metal ores,,,,,
Division 08,80,800,Other mining and quarrying,,,,,
Division 08,81,810,"Quarrying of stone, sand and clay",,,,,
Division 08,89,890,Mining and quarrying n.e.c.,,,,,
Division 08,89,891,Mining of chemical and fertilizer minerals,,,,,
Division 08,89,892,Extraction of peat,,,,,
Division 08,89,893,Extraction of salt,,,,,
Division 08,89,899,Other mining and quarrying n.e.c.,,,,,
Division 09,90,900,Mining support service activities,,,,,
Division 09,91,910,Support activities for petroleum and natural gas extraction,,,,,
Division 09,99,990,Support activities for other mining and quarrying,,,,,
Division 10,100,1000,Manufacture of food products,,,,,
Division 10,101,1010,Processing and preserving of meat,,,,,
Division 10,102,1020,"Processing and preserving of fish, crustaceans and molluscs",,,,,
Division 10,103,1030,Processing and preserving of fruit and vegetables,,,,,
Division 10,104,1040,Manufacture of vegetable and animal oils and fats,,,,,
Division 10,105,1050,Manufacture of dairy products,,,,,
Division 10,106,1060,"Manufacture of grain mill products, starches and starch products",,,,,
Division 10,106,1061,Manufacture of grain mill products,,,,,
Division 10,106,1062,Manufacture of starches and starch products,,,,,
Division 10,107,1070,Manufacture of other food products,,,,,
Division 10,107,1071,Manufacture of bakery products,,,,,
Division 10,107,1072,Manufacture of sugar,,,,,
Division 10,107,1073,"Manufacture of cocoa, chocolate and sugar confectionery",,,,,
Division 10,107,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,,
Division 10,107,1075,Manufacture of prepared meals and dishes,,,,,
Division 10,107,1079,Manufacture of other food products n.e.c.,,,,,
Division 10,108,1080,Manufacture of prepared animal feeds,,,,,
Division 11,110,1100,Manufacture of beverages,,,,,
Division 11,110,1101,"Distilling, rectifying and blending of spirits",,,,,
Division 11,110,1102,Manufacture of wines,,,,,
Division 11,110,1103,Manufacture of malt liquors and malt,,,,,
Division 11,110,1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,,,,,
Division 12,120,1200,Manufacture of tobacco products,,,,,
Division 13,130,1300,Manufacture of textiles,,,,,
Division 13,131,1310,"Spinning, weaving and finishing of textiles",,,,,
Division 13,131,1311,Preparation and spinning of textile fibres,,,,,
Division 13,131,1312,Weaving of textiles,,,,,
Division 13,131,1313,Finishing of textiles,,,,,
Division 13,139,1390,Manufacture of other textiles,,,,,
Division 13,139,1391,Manufacture of knitted and crocheted fabrics,,,,,
Division 13,139,1392,"Manufacture of made-up textile articles, except apparel",,,,,
Division 13,139,1393,Manufacture of carpets and rugs,,,,,
Division 13,139,1394,"Manufacture of cordage, rope, twine and netting",,,,,
Division 13,139,1399,Manufacture of other textiles n.e.c.,,,,,
Division 14,140,1400,Manufacture of wearing apparel,,,,,
